549 376 452 370 581 450 420 429 550 518 415 489 528 497 476 491 463 519 398 498 434 636 409 623 
544 378 447 370 576 450 414 429 548 518 414 491 520 497 469 491 458 518 398 499 437 639 395 624 
537 378 439 371 572 449 408 430 547 518 413 493 515 496 465 491 455 518 398 505 436 640 383 631 
530 378 432 372 568 448 402 431 545 517 408 493 513 496 463 491 453 516 398 509 436 643 373 632 
522 377 425 372 562 447 397 433 541 517 405 497 508 494 457 491 452 516 394 514 436 645 365 641 
517 376 420 373 557 447 393 435 538 517 401 498 504 493 451 490 450 516 390 516 435 647 360 647 
512 375 414 373 550 447 390 439 532 517 396 499 496 494 442 491 449 516 382 517 435 648 356 650 
507 374 409 373 545 447 387 442 528 517 391 503 491 494 436 492 446 517 374 517 434 647 352 655 
501 373 403 373 537 446 383 445 520 517 386 506 485 494 430 494 438 513 367 517 432 647 352 655 
495 372 396 375 528 446 378 448 514 517 380 508 480 495 424 495 431 513 362 517 431 646 354 654 
491 371 391 376 523 446 373 449 507 518 373 510 475 495 420 496 433 513 358 517 430 649 353 653 
486 371 387 377 519 446 367 450 505 519 368 511 472 495 416 496 432 514 354 518 428 653 352 653 
483 371 383 378 516 446 365 450 504 519 363 511 469 496 413 498 430 516 350 518 427 657 352 653 
481 371 380 378 516 446 361 450 504 519 360 511 468 498 411 498 430 519 348 519 428 663 351 654 
481 371 379 378 517 446 359 449 504 519 357 511 467 499 410 498 428 524 345 519 428 671 350 655 
480 371 378 377 519 445 359 449 505 519 356 512 467 500 410 499 428 525 342 519 429 672 349 656 
479 370 377 377 520 443 359 449 505 519 355 513 466 501 410 500 428 525 340 520 430 676 349 657 
479 369 377 377 521 442 359 451 505 519 355 514 467 503 410 501 429 526 338 520 430 679 348 657 
479 368 378 377 522 442 360 451 505 519 357 514 467 503 411 501 427 526 337 520 430 678 347 658 
478 368 379 377 522 442 361 452 505 519 359 516 469 503 412 501 423 526 337 520 430 677 346 659 
479 367 379 377 523 442 362 453 506 520 360 516 469 503 415 502 421 526 339 520 433 676 346 659 
480 367 380 377 523 442 362 453 506 520 363 518 473 503 420 503 420 526 340 521 435 677 346 659 
480 365 383 377 525 441 367 453 510 520 369 517 478 503 425 503 420 525 343 521 437 675 346 659 
482 364 388 378 530 440 373 453 513 520 375 517 484 503 431 503 420 529 347 521 438 676 347 659 
488 363 394 378 536 440 379 453 520 520 382 517 490 503 436 503 423 530 353 521 437 678 347 659 
496 362 401 378 542 440 385 453 524 520 388 516 497 503 443 502 430 529 360 521 437 678 347 659 
503 363 406 378 548 440 392 453 529 520 393 517 502 503 448 501 434 529 365 521 441 677 347 659 
508 363 411 378 553 440 398 454 532 520 398 518 507 503 452 501 443 529 367 521 455 671 349 659 
512 363 416 378 556 440 401 454 534 520 399 519 511 503 455 500 442 528 370 519 467 664 358 657 
517 363 420 378 559 440 402 454 536 515 396 518 513 502 457 500 448 528 372 518 468 659 374 650 
519 363 421 378 564 439 401 453 536 505 395 513 514 502 456 499 453 528 373 518 470 657 385 649 
521 363 423 374 566 438 402 442 532 493 384 491 512 502 456 499 457 528 372 518 475 653 391 647 
520 363 423 373 566 436 400 436 518 486 376 481 510 503 455 499 458 529 370 518 480 652 396 645 
518 363 423 371 564 436 396 429 501 489 373 479 509 505 455 499 457 530 370 520 483 649 400 645 
516 363 421 370 562 437 385 429 496 493 374 482 508 505 454 499 456 533 369 525 484 650 402 644 
514 363 416 371 561 438 376 431 494 496 376 485 508 506 453 500 456 533 369 527 484 649 401 644 
507 365 407 371 560 439 371 433 494 497 376 487 505 507 451 500 455 533 369 530 485 650 401 644 
493 365 397 373 558 438 366 433 493 497 377 488 498 506 447 500 455 533 368 531 484 649 402 644 
491 366 387 373 555 437 362 433 492 497 375 489 492 505 440 499 454 536 368 533 484 650 401 643 
486 359 379 365 546 430 358 429 488 494 372 487 488 492 433 490 454 537 368 535 484 651 400 643 
483 340 377 346 537 415 357 416 485 489 369 481 490 470 433 472 458 537 368 534 485 651 399 643 
479 317 376 326 528 399 357 398 485 478 362 472 490 451 434 456 460 536 368 534 486 651 399 644 
476 289 377 303 520 375 357 380 487 457 350 459 485 437 427 443 464 536 368 533 486 652 400 644 
476 267 375 282 521 350 356 360 504 439 336 434 480 424 422 429 466 535 372 532 488 650 400 644 
479 239 377 257 526 317 351 337 540 402 312 410 477 411 418 415 467 534 376 531 489 648 400 644 
481 228 377 244 529 293 347 320 569 369 300 388 471 402 409 407 467 533 382 530 488 649 399 644 
482 222 379 236 536 282 342 310 591 344 287 370 468 403 406 405 468 532 387 529 488 648 400 644 
483 217 379 233 545 267 334 301 608 311 273 353 466 400 404 402 471 530 392 527 488 648 401 645 
483 217 379 232 553 255 327 294 626 287 263 335 465 402 404 404 475 530 394 526 489 648 401 645 
484 216 379 229 558 243 327 281 637 267 262 317 465 399 402 400 476 529 395 525 489 648 402 645 
484 214 378 229 562 235 322 275 652 247 256 305 463 400 400 402 477 527 394 525 489 649 401 645 
484 214 378 228 569 231 323 267 665 233 257 289 463 398 398 399 477 521 394 523 488 648 401 645 
484 211 378 227 572 221 318 263 673 218 246 279 462 397 397 398 476 521 394 523 489 648 402 645 
485 210 378 226 572 215 317 258 671 203 248 269 459 398 395 398 475 522 395 523 489 648 402 645 
485 210 378 225 570 208 314 254 669 192 244 262 458 399 394 400 475 522 394 524 489 648 402 644 
485 210 377 223 569 205 312 251 664 188 239 258 457 400 393 401 476 523 394 525 490 648 403 645 
485 209 376 223 568 202 310 250 658 187 237 256 458 399 393 400 476 523 394 526 490 648 403 645 
484 208 374 222 568 199 309 249 656 184 236 254 457 399 392 400 476 523 394 527 490 648 403 646 
484 208 373 222 567 198 308 250 655 183 238 256 457 398 392 399 476 523 394 527 490 648 403 646 
484 208 373 222 567 195 308 250 656 184 240 255 456 398 392 399 475 524 394 527 490 648 403 646 
484 208 372 222 567 195 308 251 657 183 240 255 456 398 391 399 475 524 394 527 490 648 403 646 
